App ID,Name,Owners
104600,Portal 2 - The Final Hours,"200,000 .. 500,000"
1064930,Divine D.I.V.A.,"20,000 .. 50,000"
1100510,Demo,"20,000 .. 50,000"
1108320,妄想破绽 Broken Delusion,"500,000 .. 1,000,000"
1110390,Unturned - Dedicated Server,"200,000 .. 500,000"
11390,Crash Time 2,"100,000 .. 200,000"
12570,Hot Dish,"20,000 .. 50,000"
12580,Dr. Daisy Pet Vet,"20,000 .. 50,000"
1292940,Cube Escape Collection,"100,000 .. 200,000"
1409670,Bright Memory: Infinite Ray Tracing Benchmark,"200,000 .. 500,000"
1505830,Evil Shogun,"50,000 .. 100,000"
1606640,GrandMa Badass - Episode 1,"20,000 .. 50,000"
1687590,Mars Base,"20,000 .. 50,000"
200940,Sonic CD,"200,000 .. 500,000"
202530,Sonic the Hedgehog 4 - Episode I,"200,000 .. 500,000"
210350,Max Payne RU,"20,000 .. 50,000"
211201,Dynamite Headdy,"20,000 .. 50,000"
211205,Phantasy Star IV: The End of the Millennium,"20,000 .. 50,000"
211207,The Revenge of Shinobi,"20,000 .. 50,000"
211208,VectorMan 2,"20,000 .. 50,000"
211209,Wonder Boy in Monster World,"20,000 .. 50,000"
214190,Minimum,"500,000 .. 1,000,000"
222860,Left 4 Dead 2 Dedicated Server,"20,000 .. 50,000"
22340,Call of Cthulhu: Dark Corners of the Earth,"200,000 .. 500,000"
228560,Teenage Mutant Ninja Turtles: Out of the Shadows,"100,000 .. 200,000"
233800,Arma 3 Tools,"50,000 .. 100,000"
241930,Middle-earth: Shadow of Mordor,"5,000,000 .. 10,000,000"
243020,Pandemonium,"50,000 .. 100,000"
247120,Portal 2 Sixense Perceptual Pack,"1,000,000 .. 2,000,000"
249950,Forge Quest,"20,000 .. 50,000"
250820,SteamVR,"2,000,000 .. 5,000,000"
259700,Dead Sky,"20,000 .. 50,000"
294420,7 Days to Die Dedicated Server,"50,000 .. 100,000"
305840,Shallow Space,"20,000 .. 50,000"
315260,Space Hack,"200,000 .. 500,000"
338640,Subsiege,"20,000 .. 50,000"
339860,none,"50,000 .. 100,000"
340530,Soccer Legends,"20,000 .. 50,000"
341190,Hotline Miami 2: Wrong Number Digital Comic,"100,000 .. 200,000"
34278,Sonic 3D Blast,"50,000 .. 100,000"
34312,Ristar,"20,000 .. 50,000"
353380,Steam Link,"500,000 .. 1,000,000"
38440,Sacrifice,"50,000 .. 100,000"
42200,Nancy Drew Dossier: Resorting to Danger!,"20,000 .. 50,000"
457600,Emerge: Cities of the Apocalypse,"100,000 .. 200,000"
458890,Within VR - Cinematic Virtual Reality,"20,000 .. 50,000"
525460,Sullen: Light is Your Friend,"50,000 .. 100,000"
526750,The Gleam: VR Escape the Room,"50,000 .. 100,000"
530550,Bubble Jungle  Super Chameleon Platformer World,"20,000 .. 50,000"
554530,CRACKHEAD,"100,000 .. 200,000"
562340,Iron Wings,"20,000 .. 50,000"
585260,Antagonist,"20,000 .. 50,000"
613220,Steam 360 Video Player,"100,000 .. 200,000"
616090,龙魂时刻,"200,000 .. 500,000"
618610,Endless Horde,"100,000 .. 200,000"
650780,AngerForce: Reloaded,"50,000 .. 100,000"
667720,Red Faction Guerrilla Re-Mars-tered,"500,000 .. 1,000,000"
682910,No Lights,"50,000 .. 100,000"
71162,Sonic 3 & Knuckles,"50,000 .. 100,000"
71167,ToeJam & Earl in Panic on Funkotron,"20,000 .. 50,000"
71250,Sonic Adventure DX,"500,000 .. 1,000,000"
773620,Redemption: Tyranny of Daetorem,"20,000 .. 50,000"
783140,Removed,"200,000 .. 500,000"
900883,The Elder Scrolls IV: Oblivion Game of the Year Edition Deluxe,"1,000,000 .. 2,000,000"
90500,Guardians of Graxia,"20,000 .. 50,000"
906390,Return.,"20,000 .. 50,000"
918120,A.L.A.N.: Rift Breakers,"20,000 .. 50,000"
94510,Back to the Future: Ep 3 - Citizen Brown,"20,000 .. 50,000"
94520,Back to the Future: Ep 4 - Double Visions,"20,000 .. 50,000"
94530,Back to the Future: Ep 5 - OUTATIME,"20,000 .. 50,000"
